user_id,order_id,item_id,purchase_date,return_date,return_reason,refund_amount,payment_method,receipt_id
USER00000055,ORD00000055,PROD00000055,2023-04-30,2023-04-11,Changed mind,1411.72,Gift Card,ORD00000055-PROD00000055
USER00000056,ORD00000056,PROD00000056,2024-02-04,,Not Returned,0.0,Debit Card,ORD00000056-PROD00000056
USER00000057,ORD00000057,PROD00000057,2024-09-22,2023-09-10,Changed mind,603.36,PayPal,ORD00000057-PROD00000057
USER00000058,ORD00000058,PROD00000058,2024-05-06,,Not Returned,0.0,PayPal,ORD00000058-PROD00000058
USER00000059,ORD00000059,PROD00000059,2023-02-13,,Not Returned,0.0,Credit Card,ORD00000059-PROD00000059
USER00000060,ORD00000060,PROD00000060,2024-10-26,2024-02-24,Wrong item,1559.32,Gift Card,ORD00000060-PROD00000060
USER00000061,ORD00000061,PROD00000061,2024-11-06,,Not Returned,0.0,PayPal,ORD00000061-PROD00000061
USER00000062,ORD00000062,PROD00000062,2023-12-12,,Not Returned,0.0,Gift Card,ORD00000062-PROD00000062
USER00000063,ORD00000063,PROD00000063,2023-11-21,,Not Returned,0.0,Debit Card,ORD00000063-PROD00000063
USER00000064,ORD00000064,PROD00000064,2024-07-06,2023-03-17,Wrong item,1288.23,Debit Card,ORD00000064-PROD00000064
USER00000065,ORD00000065,PROD00000065,2023-06-03,2023-09-22,Defective,561.22,Debit Card,ORD00000065-PROD00000065
USER00000066,ORD00000066,PROD00000066,2024-09-08,,Not Returned,0.0,Debit Card,ORD00000066-PROD00000066
USER00000067,ORD00000067,PROD00000067,2023-11-07,2023-05-30,Not as described,683.37,Gift Card,ORD00000067-PROD00000067
USER00000068,ORD00000068,PROD00000068,2023-11-13,2024-06-16,Wrong item,1182.24,Credit Card,ORD00000068-PROD00000068
USER00000069,ORD00000069,PROD00000069,2024-06-11,,Not Returned,0.0,Debit Card,ORD00000069-PROD00000069
USER00000070,ORD00000070,PROD00000070,2024-05-24,2023-06-21,Defective,348.68,Gift Card,ORD00000070-PROD00000070
USER00000071,ORD00000071,PROD00000071,2024-08-21,,Not Returned,0.0,PayPal,ORD00000071-PROD00000071
USER00000072,ORD00000072,PROD00000072,2023-03-30,,Not Returned,0.0,Debit Card,ORD00000072-PROD00000072
USER00000073,ORD00000073,PROD00000073,2023-07-10,,Not Returned,0.0,Credit Card,ORD00000073-PROD00000073
USER00000074,ORD00000074,PROD00000074,2024-02-21,,Not Returned,0.0,Gift Card,ORD00000074-PROD00000074
USER00000075,ORD00000075,PROD00000075,2023-05-08,2024-01-19,Not as described,1661.9499999999998,Debit Card,ORD00000075-PROD00000075
USER00000076,ORD00000076,PROD00000076,2023-05-30,,Not Returned,0.0,PayPal,ORD00000076-PROD00000076
USER00000077,ORD00000077,PROD00000077,2023-04-09,2024-01-21,Not as described,370.68,PayPal,ORD00000077-PROD00000077
USER00000078,ORD00000078,PROD00000078,2023-05-07,2024-08-10,Not as described,128.58,Debit Card,ORD00000078-PROD00000078
USER00000079,ORD00000079,PROD00000079,2024-08-07,,Not Returned,0.0,Debit Card,ORD00000079-PROD00000079
USER00000080,ORD00000080,PROD00000080,2023-04-02,,Not Returned,0.0,Debit Card,ORD00000080-PROD00000080
USER00000081,ORD00000081,PROD00000081,2024-03-21,2023-09-13,Defective,2147.3500000000004,Gift Card,ORD00000081-PROD00000081
USER00000082,ORD00000082,PROD00000082,2023-03-17,2023-08-31,Changed mind,2481.1000000000004,Gift Card,ORD00000082-PROD00000082
USER00000083,ORD00000083,PROD00000083,2023-06-08,2024-10-23,Not as described,52.19,Debit Card,ORD00000083-PROD00000083
USER00000084,ORD00000084,PROD00000084,2024-11-18,,Not Returned,0.0,PayPal,ORD00000084-PROD00000084
USER00000085,ORD00000085,PROD00000085,2023-04-13,,Not Returned,0.0,Credit Card,ORD00000085-PROD00000085
USER00000086,ORD00000086,PROD00000086,2024-03-06,,Not Returned,0.0,Credit Card,ORD00000086-PROD00000086
USER00000087,ORD00000087,PROD00000087,2023-08-03,,Not Returned,0.0,PayPal,ORD00000087-PROD00000087
USER00000088,ORD00000088,PROD00000088,2023-12-12,2023-09-27,Changed mind,157.88,Credit Card,ORD00000088-PROD00000088
USER00000089,ORD00000089,PROD00000089,2023-07-31,,Not Returned,0.0,PayPal,ORD00000089-PROD00000089
USER00000090,ORD00000090,PROD00000090,2024-10-10,,Not Returned,0.0,PayPal,ORD00000090-PROD00000090
USER00000091,ORD00000091,PROD00000091,2024-12-25,2024-08-11,Not as described,99.21,PayPal,ORD00000091-PROD00000091
USER00000092,ORD00000092,PROD00000092,2023-10-02,2024-02-27,Changed mind,1578.84,Gift Card,ORD00000092-PROD00000092
USER00000093,ORD00000093,PROD00000093,2023-07-29,2024-07-01,Defective,461.8,Credit Card,ORD00000093-PROD00000093
USER00000094,ORD00000094,PROD00000094,2024-04-03,,Not Returned,0.0,Gift Card,ORD00000094-PROD00000094
USER00000095,ORD00000095,PROD00000095,2023-02-27,,Not Returned,0.0,PayPal,ORD00000095-PROD00000095
USER00000096,ORD00000096,PROD00000096,2023-06-18,2023-11-08,Defective,1985.24,Gift Card,ORD00000096-PROD00000096
USER00000097,ORD00000097,PROD00000097,2024-12-08,2024-04-15,Defective,208.78,Credit Card,ORD00000097-PROD00000097
USER00000098,ORD00000098,PROD00000098,2024-02-21,,Not Returned,0.0,Gift Card,ORD00000098-PROD00000098
USER00000099,ORD00000099,PROD00000099,2023-12-07,2024-12-30,Wrong item,46.61,Credit Card,ORD00000099-PROD00000099
USER00000100,ORD00000100,PROD00000100,2023-10-30,,Not Returned,0.0,Credit Card,ORD00000100-PROD00000100
USER00000101,ORD00000101,PROD00000101,2024-05-01,2024-08-20,Wrong item,849.6500000000001,Credit Card,ORD00000101-PROD00000101
USER00000102,ORD00000102,PROD00000102,2023-09-21,,Not Returned,0.0,Debit Card,ORD00000102-PROD00000102
USER00000103,ORD00000103,PROD00000103,2024-09-08,,Not Returned,0.0,Debit Card,ORD00000103-PROD00000103
USER00000104,ORD00000104,PROD00000104,2023-04-10,2023-10-24,Defective,105.47999999999999,PayPal,ORD00000104-PROD00000104
USER00000105,ORD00000105,PROD00000105,2023-06-12,,Not Returned,0.0,Debit Card,ORD00000105-PROD00000105
USER00000106,ORD00000106,PROD00000106,2023-09-03,2023-04-04,Changed mind,897.68,Gift Card,ORD00000106-PROD00000106
USER00000107,ORD00000107,PROD00000107,2023-10-09,,Not Returned,0.0,PayPal,ORD00000107-PROD00000107
USER00000108,ORD00000108,PROD00000108,2024-10-17,,Not Returned,0.0,Debit Card,ORD00000108-PROD00000108
USER00000109,ORD00000109,PROD00000109,2024-08-27,,Not Returned,0.0,Credit Card,ORD00000109-PROD00000109
USER00000110,ORD00000110,PROD00000110,2024-05-31,,Not Returned,0.0,Gift Card,ORD00000110-PROD00000110
USER00000111,ORD00000111,PROD00000111,2024-08-03,2023-09-01,Defective,1575.5500000000002,PayPal,ORD00000111-PROD00000111
USER00000112,ORD00000112,PROD00000112,2024-05-12,2023-04-06,Not as described,519.14,Credit Card,ORD00000112-PROD00000112
USER00000113,ORD00000113,PROD00000113,2024-03-10,,Not Returned,0.0,Debit Card,ORD00000113-PROD00000113
USER00000114,ORD00000114,PROD00000114,2023-01-07,,Not Returned,0.0,Gift Card,ORD00000114-PROD00000114
USER00000115,ORD00000115,PROD00000115,2024-06-07,2023-06-01,Not as described,790.64,Credit Card,ORD00000115-PROD00000115
USER00000116,ORD00000116,PROD00000116,2023-09-26,2024-07-15,Defective,319.6,PayPal,ORD00000116-PROD00000116
USER00000117,ORD00000117,PROD00000117,2024-02-04,2024-09-17,Changed mind,1060.92,Credit Card,ORD00000117-PROD00000117
USER00000118,ORD00000118,PROD00000118,2023-12-04,2023-07-01,Not as described,183.68,Credit Card,ORD00000118-PROD00000118
USER00000119,ORD00000119,PROD00000119,2023-04-13,,Not Returned,0.0,Gift Card,ORD00000119-PROD00000119
USER00000120,ORD00000120,PROD00000120,2024-08-08,2024-10-13,Changed mind,1227.2,PayPal,ORD00000120-PROD00000120
USER00000121,ORD00000121,PROD00000121,2023-09-06,,Not Returned,0.0,Gift Card,ORD00000121-PROD00000121
USER00000122,ORD00000122,PROD00000122,2024-06-12,,Not Returned,0.0,PayPal,ORD00000122-PROD00000122
USER00000123,ORD00000123,PROD00000123,2024-07-04,2023-11-02,Changed mind,981.6,Credit Card,ORD00000123-PROD00000123
USER00000124,ORD00000124,PROD00000124,2023-03-09,,Not Returned,0.0,PayPal,ORD00000124-PROD00000124
USER00000125,ORD00000125,PROD00000125,2024-12-20,,Not Returned,0.0,Gift Card,ORD00000125-PROD00000125
USER00000126,ORD00000126,PROD00000126,2023-01-14,,Not Returned,0.0,Credit Card,ORD00000126-PROD00000126
USER00000127,ORD00000127,PROD00000127,2024-03-03,,Not Returned,0.0,Credit Card,ORD00000127-PROD00000127
USER00000128,ORD00000128,PROD00000128,2023-12-01,,Not Returned,0.0,Debit Card,ORD00000128-PROD00000128
USER00000129,ORD00000129,PROD00000129,2024-04-09,,Not Returned,0.0,Credit Card,ORD00000129-PROD00000129
USER00000130,ORD00000130,PROD00000130,2024-02-25,,Not Returned,0.0,Gift Card,ORD00000130-PROD00000130
USER00000131,ORD00000131,PROD00000131,2024-05-24,2023-10-10,Changed mind,438.58,Credit Card,ORD00000131-PROD00000131
USER00000132,ORD00000132,PROD00000132,2023-02-15,2024-09-03,Defective,174.94,PayPal,ORD00000132-PROD00000132
USER00000133,ORD00000133,PROD00000133,2024-03-04,,Not Returned,0.0,Credit Card,ORD00000133-PROD00000133
USER00000134,ORD00000134,PROD00000134,2023-01-25,2023-01-05,Wrong item,18.83,Gift Card,ORD00000134-PROD00000134
USER00000135,ORD00000135,PROD00000135,2024-05-31,2023-07-16,Changed mind,1164.36,Debit Card,ORD00000135-PROD00000135
USER00000136,ORD00000136,PROD00000136,2023-01-23,2023-06-11,Wrong item,386.51,Credit Card,ORD00000136-PROD00000136
USER00000137,ORD00000137,PROD00000137,2024-07-17,2024-01-13,Not as described,1140.84,Debit Card,ORD00000137-PROD00000137
USER00000138,ORD00000138,PROD00000138,2023-08-01,,Not Returned,0.0,Credit Card,ORD00000138-PROD00000138
USER00000139,ORD00000139,PROD00000139,2024-04-09,2023-10-13,Changed mind,66.2,Credit Card,ORD00000139-PROD00000139
USER00000140,ORD00000140,PROD00000140,2024-10-09,2023-10-15,Changed mind,809.7,Gift Card,ORD00000140-PROD00000140
USER00000141,ORD00000141,PROD00000141,2023-07-29,2024-05-13,Wrong item,173.42,Gift Card,ORD00000141-PROD00000141
USER00000142,ORD00000142,PROD00000142,2023-10-17,,Not Returned,0.0,Credit Card,ORD00000142-PROD00000142
USER00000143,ORD00000143,PROD00000143,2023-01-01,,Not Returned,0.0,Debit Card,ORD00000143-PROD00000143
USER00000144,ORD00000144,PROD00000144,2024-08-03,2024-05-16,Defective,866.1299999999999,Credit Card,ORD00000144-PROD00000144
USER00000145,ORD00000145,PROD00000145,2023-10-10,,Not Returned,0.0,PayPal,ORD00000145-PROD00000145
USER00000146,ORD00000146,PROD00000146,2024-10-12,,Not Returned,0.0,Gift Card,ORD00000146-PROD00000146
USER00000147,ORD00000147,PROD00000147,2024-12-18,,Not Returned,0.0,PayPal,ORD00000147-PROD00000147
USER00000148,ORD00000148,PROD00000148,2024-10-27,,Not Returned,0.0,Gift Card,ORD00000148-PROD00000148
USER00000149,ORD00000149,PROD00000149,2024-10-15,,Not Returned,0.0,Credit Card,ORD00000149-PROD00000149
USER00000150,ORD00000150,PROD00000150,2024-09-01,2023-02-23,Wrong item,805.58,PayPal,ORD00000150-PROD00000150
USER00000151,ORD00000151,PROD00000151,2023-10-01,,Not Returned,0.0,Gift Card,ORD00000151-PROD00000151
USER00000152,ORD00000152,PROD00000152,2024-07-19,,Not Returned,0.0,Debit Card,ORD00000152-PROD00000152
USER00000153,ORD00000153,PROD00000153,2024-10-20,2023-02-06,Defective,444.83,PayPal,ORD00000153-PROD00000153
USER00000154,ORD00000154,PROD00000154,2024-08-07,,Not Returned,0.0,Credit Card,ORD00000154-PROD00000154
USER00000155,ORD00000155,PROD00000155,2024-06-27,2023-01-29,Changed mind,1329.96,Credit Card,ORD00000155-PROD00000155
USER00000156,ORD00000156,PROD00000156,2024-02-01,,Not Returned,0.0,Gift Card,ORD00000156-PROD00000156
USER00000157,ORD00000157,PROD00000157,2024-06-26,,Not Returned,0.0,Debit Card,ORD00000157-PROD00000157
USER00000158,ORD00000158,PROD00000158,2023-07-08,,Not Returned,0.0,Credit Card,ORD00000158-PROD00000158
USER00000159,ORD00000159,PROD00000159,2023-09-15,2024-08-25,Defective,871.16,PayPal,ORD00000159-PROD00000159
USER00000160,ORD00000160,PROD00000160,2023-11-04,2024-09-28,Not as described,869.32,Debit Card,ORD00000160-PROD00000160
USER00000161,ORD00000161,PROD00000161,2024-04-30,,Not Returned,0.0,Gift Card,ORD00000161-PROD00000161
USER00000162,ORD00000162,PROD00000162,2024-07-06,2023-03-18,Changed mind,1155.5500000000002,Credit Card,ORD00000162-PROD00000162
USER00000163,ORD00000163,PROD00000163,2023-04-27,2024-09-14,Defective,1165.72,PayPal,ORD00000163-PROD00000163
USER00000164,ORD00000164,PROD00000164,2024-06-02,2024-10-02,Changed mind,128.65,Debit Card,ORD00000164-PROD00000164
USER00000165,ORD00000165,PROD00000165,2023-10-01,2024-08-01,Wrong item,1982.4,Debit Card,ORD00000165-PROD00000165
USER00000166,ORD00000166,PROD00000166,2023-03-14,,Not Returned,0.0,Credit Card,ORD00000166-PROD00000166
USER00000167,ORD00000167,PROD00000167,2024-11-16,2023-11-30,Defective,1624.25,Debit Card,ORD00000167-PROD00000167
USER00000168,ORD00000168,PROD00000168,2023-09-01,,Not Returned,0.0,Credit Card,ORD00000168-PROD00000168
USER00000169,ORD00000169,PROD00000169,2024-03-19,2023-06-06,Defective,2290.8,PayPal,ORD00000169-PROD00000169
USER00000170,ORD00000170,PROD00000170,2023-12-01,2024-05-09,Changed mind,591.0,Gift Card,ORD00000170-PROD00000170
USER00000171,ORD00000171,PROD00000171,2023-12-17,2024-07-02,Wrong item,276.46,PayPal,ORD00000171-PROD00000171
USER00000172,ORD00000172,PROD00000172,2024-08-26,2024-11-14,Not as described,141.14999999999998,Gift Card,ORD00000172-PROD00000172
USER00000173,ORD00000173,PROD00000173,2023-06-05,2024-09-28,Not as described,45.15,Credit Card,ORD00000173-PROD00000173
USER00000174,ORD00000174,PROD00000174,2024-02-25,,Not Returned,0.0,PayPal,ORD00000174-PROD00000174
USER00000175,ORD00000175,PROD00000175,2024-09-10,2024-01-24,Changed mind,381.39,Debit Card,ORD00000175-PROD00000175
USER00000176,ORD00000176,PROD00000176,2024-08-26,,Not Returned,0.0,PayPal,ORD00000176-PROD00000176
USER00000177,ORD00000177,PROD00000177,2024-07-18,,Not Returned,0.0,PayPal,ORD00000177-PROD00000177
USER00000178,ORD00000178,PROD00000178,2023-04-05,,Not Returned,0.0,Gift Card,ORD00000178-PROD00000178
USER00000179,ORD00000179,PROD00000179,2024-01-12,2023-01-04,Not as described,404.05,Gift Card,ORD00000179-PROD00000179
USER00000180,ORD00000180,PROD00000180,2023-05-20,,Not Returned,0.0,Debit Card,ORD00000180-PROD00000180
USER00000181,ORD00000181,PROD00000181,2024-09-22,2023-10-05,Not as described,1221.6,PayPal,ORD00000181-PROD00000181
USER00000182,ORD00000182,PROD00000182,2023-10-31,2024-09-25,Wrong item,279.56,Credit Card,ORD00000182-PROD00000182
USER00000183,ORD00000183,PROD00000183,2023-03-31,2023-10-26,Not as described,1020.1800000000001,Credit Card,ORD00000183-PROD00000183
USER00000184,ORD00000184,PROD00000184,2023-11-17,2023-06-17,Changed mind,767.24,Debit Card,ORD00000184-PROD00000184
USER00000185,ORD00000185,PROD00000185,2023-12-20,,Not Returned,0.0,Gift Card,ORD00000185-PROD00000185
USER00000186,ORD00000186,PROD00000186,2024-05-31,2023-04-26,Wrong item,1082.43,PayPal,ORD00000186-PROD00000186
USER00000187,ORD00000187,PROD00000187,2024-09-10,2024-03-09,Not as described,142.79,PayPal,ORD00000187-PROD00000187
USER00000188,ORD00000188,PROD00000188,2023-07-26,2024-03-24,Defective,713.78,Debit Card,ORD00000188-PROD00000188
USER00000189,ORD00000189,PROD00000189,2024-10-08,,Not Returned,0.0,Debit Card,ORD00000189-PROD00000189
USER00000190,ORD00000190,PROD00000190,2023-02-22,,Not Returned,0.0,Debit Card,ORD00000190-PROD00000190
USER00000191,ORD00000191,PROD00000191,2023-12-08,2023-04-02,Not as described,323.29,Gift Card,ORD00000191-PROD00000191
USER00000192,ORD00000192,PROD00000192,2024-09-23,,Not Returned,0.0,Credit Card,ORD00000192-PROD00000192
USER00000193,ORD00000193,PROD00000193,2024-04-06,,Not Returned,0.0,Credit Card,ORD00000193-PROD00000193
USER00000194,ORD00000194,PROD00000194,2024-01-08,2023-05-10,Wrong item,272.44,Credit Card,ORD00000194-PROD00000194
USER00000195,ORD00000195,PROD00000195,2023-07-14,,Not Returned,0.0,PayPal,ORD00000195-PROD00000195
USER00000196,ORD00000196,PROD00000196,2024-04-10,2023-05-26,Wrong item,32.5,Credit Card,ORD00000196-PROD00000196
USER00000197,ORD00000197,PROD00000197,2023-01-28,,Not Returned,0.0,Debit Card,ORD00000197-PROD00000197
USER00000198,ORD00000198,PROD00000198,2024-02-08,,Not Returned,0.0,Credit Card,ORD00000198-PROD00000198
USER00000199,ORD00000199,PROD00000199,2023-06-04,,Not Returned,0.0,Gift Card,ORD00000199-PROD00000199
USER00000200,ORD00000200,PROD00000200,2024-06-24,,Not Returned,0.0,Credit Card,ORD00000200-PROD00000200
USER00000201,ORD00000201,PROD00000201,2023-06-05,,Not Returned,0.0,Gift Card,ORD00000201-PROD00000201
USER00000202,ORD00000202,PROD00000202,2024-10-10,,Not Returned,0.0,Credit Card,ORD00000202-PROD00000202
USER00000203,ORD00000203,PROD00000203,2024-04-14,,Not Returned,0.0,Credit Card,ORD00000203-PROD00000203
USER00000204,ORD00000204,PROD00000204,2023-04-25,2024-06-19,Not as described,1814.05,Gift Card,ORD00000204-PROD00000204
USER00000205,ORD00000205,PROD00000205,2024-12-28,,Not Returned,0.0,Credit Card,ORD00000205-PROD00000205
USER00000206,ORD00000206,PROD00000206,2024-08-27,,Not Returned,0.0,PayPal,ORD00000206-PROD00000206
USER00000207,ORD00000207,PROD00000207,2024-08-29,,Not Returned,0.0,Debit Card,ORD00000207-PROD00000207
USER00000208,ORD00000208,PROD00000208,2023-11-27,,Not Returned,0.0,Debit Card,ORD00000208-PROD00000208
USER00000209,ORD00000209,PROD00000209,2024-07-20,2023-10-22,Wrong item,1793.45,Gift Card,ORD00000209-PROD00000209
USER00000210,ORD00000210,PROD00000210,2023-06-22,,Not Returned,0.0,Credit Card,ORD00000210-PROD00000210
USER00000211,ORD00000211,PROD00000211,2023-12-11,2023-02-11,Not as described,396.42,Debit Card,ORD00000211-PROD00000211
USER00000212,ORD00000212,PROD00000212,2024-10-13,2023-10-25,Not as described,273.6,Debit Card,ORD00000212-PROD00000212
USER00000213,ORD00000213,PROD00000213,2023-11-07,2024-05-19,Not as described,1465.1999999999998,Debit Card,ORD00000213-PROD00000213
USER00000214,ORD00000214,PROD00000214,2023-07-25,2024-02-14,Defective,270.92,PayPal,ORD00000214-PROD00000214
USER00000215,ORD00000215,PROD00000215,2024-11-24,,Not Returned,0.0,Credit Card,ORD00000215-PROD00000215
USER00000216,ORD00000216,PROD00000216,2023-02-13,,Not Returned,0.0,PayPal,ORD00000216-PROD00000216
USER00000217,ORD00000217,PROD00000217,2024-05-20,,Not Returned,0.0,PayPal,ORD00000217-PROD00000217
USER00000218,ORD00000218,PROD00000218,2023-11-22,,Not Returned,0.0,PayPal,ORD00000218-PROD00000218
USER00000219,ORD00000219,PROD00000219,2024-12-14,2024-03-28,Not as described,1180.32,Gift Card,ORD00000219-PROD00000219
USER00000220,ORD00000220,PROD00000220,2023-11-09,2023-11-22,Not as described,385.04999999999995,Gift Card,ORD00000220-PROD00000220
USER00000221,ORD00000221,PROD00000221,2023-04-19,2023-12-03,Changed mind,579.44,Debit Card,ORD00000221-PROD00000221
USER00000222,ORD00000222,PROD00000222,2024-01-22,,Not Returned,0.0,Credit Card,ORD00000222-PROD00000222
USER00000223,ORD00000223,PROD00000223,2023-06-09,2024-05-29,Not as described,819.3,Credit Card,ORD00000223-PROD00000223
USER00000224,ORD00000224,PROD00000224,2023-03-31,2023-04-13,Defective,510.09000000000003,PayPal,ORD00000224-PROD00000224
USER00000225,ORD00000225,PROD00000225,2023-11-06,,Not Returned,0.0,Gift Card,ORD00000225-PROD00000225
USER00000226,ORD00000226,PROD00000226,2023-07-14,,Not Returned,0.0,PayPal,ORD00000226-PROD00000226
USER00000227,ORD00000227,PROD00000227,2023-09-25,2024-02-09,Wrong item,277.15,Credit Card,ORD00000227-PROD00000227
USER00000228,ORD00000228,PROD00000228,2023-10-02,,Not Returned,0.0,Credit Card,ORD00000228-PROD00000228
